C0 (181 objects)	C1 (84 objects)	C2 (155 objects)
854078	856704	856924,851676
855663	855936	850543
852757	853671	855879
850872	855842	853925
853083	850409	851591
852922,851058	856691	851480
852293	850786	853993
855400	854943	854117
855919	855420	855972
850549	854026	854014,852154,852720,852844
851660	850392	852775
852391	854867	852081
854157	855747	853009
855269	854179	853361,853891
854162	855043	850368,855736
851484,851122	855418,854036	855898
852107	856672	855395
851963	852673	850930
850304	851865	855761
853419	854020	852306
851196	856136	855532
851407	854166	852295
851656	853422	853884
851969	855131,853732	852763
856692	853033	852264,853233,854634,855802
853160	850941	851878
853458	854810	856702
853781,856059	853906	854682
850652	854466	854760
851049	855906	853833
854881	853135	851115
855158	851981	855626
855618,854276	854816	855764
855664	856423	854372
855774	850519	856021
854293	856571	856720
856063	853259	853651
853311	853632	851391
856465	852380,852250	852515,852824
853272	855328	854680
856145	850864	856891
852789	853968	856733
850625	850863	852230
852385	852242	854778
855600	851923	852499
851408	852016	852092
852322	853098	855324
852438	853398	855201
851403	853716	854511
855492	855448	855971
851100	856560,855464	851086
855357	855821	851938
855993	854335	851503
852549	855182	851862
851195	850507	854257
853681	856576	853387
851419,851336	851748	856876
852802	850589	851421,851339
855424	850687	852346
855692	853187	852366
854518	852785	851487
856411	852537	851558
851617	850376	851576
855986	855446	852023
856226	850821	852035
856732	856913,851667	856739
856687	851979	853775
851874	856402	852648
850422	853237	852892
855581	853464	856448
856147	850983	854805
851771	851098	853859
856459	851102	854872,855303
852007	855304	855215
852146	855338	850466,851182,855588
856655	851317	854208
852925	854699	855895
851326	856294	856002
854711	854336	855705
853230	854386	854127
853855	854456	856105
853326,853916	850436,855765	852261
850631	854840	852266
856815	855574	852271
855301		852286,851564
855639		852423
854019		852559
854515		850367
856022		851353,850486,855384,853621
856320		855176
851924		852265
854469		853574
855403		853777
855746		855725
855042		854697
854165		851351,853624
851632		853538
853851		855804
853438		855085
855695		851845
855957		850712
850883		851956
850894		856664,853510
854664		856820
853447		852915
850745		852977
852704		853951,855292
850298		853119
854211		853170
851208		856513
852313		854688
850414		853866
850423		850630
851319		850898
851477,855173		850997
853809		854888
851499		855348
851530		855509
850394		855608
851698		856911
851798		855682
855890		853757
851894		851006
851942		856140
852225		851608,851609,851610
856725		851785
856846		856609
852651		854651
855889		855679
852995		855829
856462		854889
856467		855968,854401
856553		856013
856575		855732
854717		852636
854726		854229
853317		854765
853358		850950
853471		855897
853527		856321
853534		852853
853750		851707
853894		855552
850649		854241
850944		850527
850982		852291
851125		853733,855130
854865		851013
854877		853286
855240		855170
855260		855860
855426		851420
855514		850577
855591		852456
851713		852257
856488		
853995		
853996		
854060		
855978		
856017		
853348		
854286		
854417		
854448		
854519		
855875		
855884		
855887		
855894		
853792		
856228		
851369,855512		
855560,856544		
850835		
856415,853700		
853364		
855767		
853305,853931		
855489		
856746		
