C0 (201 genes)	C1 (71 genes)	C2 (122 genes)
Objects	Objects	Objects
O1000	O03	O01
O117	O07	O102
O119	O08	O11
O129	O106	O118
O130	O113	O12
O131	O133	O123
O142	O135	O126
O145	O14	O127
O147	O171	O13
O148	O183	O134
O149	O19	O140
O150	O208	O15
O152	O21	O156
O157	O221	O16
O158	O24	O17
O161	O241	O184
O164	O25	O188
O168	O27	O189
O175	O281	O197
O176	O29	O202
O178	O31	O207
O182	O313	O218
O187	O32	O22
O193	O334	O226
O196	O355	O236
O205	O396	O237
O209	O412	O248
O210	O414	O259
O212	O424	O271
O222	O43	O275
O238	O44	O278
O239	O449	O28
O245	O483	O288
O250	O49	O301
O253	O504	O332
O257	O506	O338
O260	O51	O342
O268	O52	O344
O270	O53	O349
O273	O534	O350
O290	O536	O351
O303	O548	O362
O305	O572	O366
O307	O587	O370
O314	O600	O376
O341	O603	O39
O346	O606	O408
O35	O650	O420
O356	O656	O429
O357	O690	O437
O368	O711	O441
O37	O743	O455
O371	O775	O460
O372	O807	O465
O377	O808	O487
O378	O810	O490
O38	O813	O494
O384	O838	O499
O390	O841	O507
O391	O849	O513
O397	O851	O525
O40	O860	O538
O400	O869	O539
O403	O920	O542
O413	O922	O545
O419	O954	O546
O422	O958	O551
O427	O987	O563
O440	O99	O565
O446	O991	O578
O45	O999	O585
O452		O589
O453		O59
O456		O597
O458		O624
O46		O632
O463		O635
O473		O639
O477		O645
O479		O649
O48		O657
O480		O659
O482		O66
O491		O660
O497		O666
O498		O671
O50		O680
O501		O681
O508		O696
O514		O698
O515		O704
O519		O706
O530		O737
O531		O738
O533		O777
O535		O791
O540		O802
O552		O803
O553		O825
O555		O837
O56		O846
O567		O854
O571		O863
O573		O867
O591		O881
O593		O884
O596		O886
O605		O890
O609		O893
O610		O898
O615		O906
O619		O910
O626		O914
O627		O926
O629		O931
O633		O946
O637		O951
O64		O962
O643		O963
O644		O978
O648		O980
O661		O996
O663		
O670		
O672		
O673		
O676		
O677		
O69		
O693		
O697		
O702		
O709		
O714		
O715		
O717		
O718		
O723		
O727		
O729		
O73		
O744		
O748		
O751		
O753		
O756		
O761		
O768		
O769		
O77		
O771		
O776		
O779		
O784		
O786		
O789		
O792		
O797		
O805		
O811		
O812		
O819		
O82		
O821		
O822		
O829		
O836		
O840		
O845		
O847		
O855		
O857		
O858		
O859		
O86		
O864		
O897		
O899		
O90		
O901		
O903		
O908		
O916		
O924		
O939		
O94		
O945		
O953		
O956		
O96		
O961		
O964		
O968		
O974		
O98		
O982		
O984		
O986		
O988		
O993		
O998		
