C0 (29 genes)	C1 (16 genes)	C2 (16 genes)	C3 (12 genes)	C4 (15 genes)	C5 (12 genes)
Objects	Objects	Objects	Objects	Objects	Objects
O117	O239	O147	O19	O269	O03
O129	O260	O157	O208	O322	O07
O130	O270	O178	O221	O333	O08
O142	O314	O356	O41	O340	O21
O150	O357	O497	O43	O347	O24
O152	O377	O519	O44	O353	O25
O158	O533	O552	O49	O426	O27
O187	O540	O591	O51	O586	O29
O253	O693	O64	O52	O664	O31
O341	O718	O661	O53	O806	O32
O371	O727	O672	O841	O835	O412
O397	O744	O771	O99	O885	O954
O403	O822	O792		O889	
O515	O847	O855		O933	
O553	O953	O858		O95	
O610	O982	O897			
O619					
O633					
O643					
O723					
O756					
O769					
O789					
O797					
O819					
O859					
O903					
O984					
O986					
