C0 (24 objects)	C1 (31 objects)
2539548,2541130	2541116,2542190
2539411	2538897
2541486	2543475
2542467,2541220,2539804	2541274
2539729	2540871
2543527,2538948	2539968
2538955,2543426	2539308
2540750	2540989
2539923	2539950,2539980
2542872	2539663
2540201	2542663
2542267	2541295,2539466,2541799,2542927
2542216	2539319
2540920,2542989	2540934,2539551,2540262,2540940,2540286
2543379,2541480	2538869,2539097,3361387
2543420	3361266,2542109
2543476	2542369
2543064,2542363	2541779
2543024,2542289,2541387	2543197
2541948	2539863
2541392,2541377,2541401,2541374	2542514
2543309,2542265	2538900
2542848,2542661	2542192
2539756,2541447	2538776
	2543193,2540937
	2543325,3361570
	2543082
	2538733,2538958,2539138,2539052
	2540199
	2542789
	2541318,2541496
