C0 (77 genes)	C1 (12 genes)	C2 (15 genes)	C3 (12 genes)	C4 (16 genes)
Objects	Objects	Objects	Objects	Objects
O117	O19	O269	O03	O100
O129	O208	O322	O07	O106
O130	O221	O333	O08	O113
O142	O41	O340	O21	O319
O147	O43	O347	O24	O330
O150	O44	O353	O25	O399
O152	O49	O426	O27	O534
O157	O51	O586	O29	O572
O158	O52	O664	O31	O587
O164	O53	O806	O32	O600
O178	O841	O835	O412	O743
O187	O99	O885	O954	O851
O210		O889		O852
O239		O933		O869
O253		O95		O922
O260				O991
O270				
O290				
O314				
O341				
O356				
O357				
O368				
O371				
O377				
O38				
O397				
O403				
O413				
O473				
O497				
O515				
O519				
O533				
O535				
O540				
O552				
O553				
O567				
O591				
O610				
O619				
O626				
O633				
O64				
O643				
O661				
O663				
O672				
O693				
O709				
O715				
O718				
O723				
O727				
O744				
O756				
O769				
O771				
O789				
O792				
O797				
O819				
O822				
O847				
O855				
O858				
O859				
O897				
O903				
O953				
O974				
O982				
O984				
O986				
O993				
O998				
